id,text,skills
1,"Strong Python and SQL skills required. Experience with dbt and Snowflake a plus.","Python,SQL,dbt,Snowflake"
2,"We use Apache Spark and Kafka for our streaming pipeline. Airflow handles orchestration.","Apache Spark,Kafka,Airflow"
3,"Build production ML systems using PyTorch. Kubernetes experience essential for deployment.","PyTorch,Kubernetes"
4,"Our stack: React frontend, FastAPI backend, PostgreSQL database, hosted on AWS.","React,FastAPI,PostgreSQL,AWS"
5,"The team works in Python 3.11 and deploys via Docker containers on GCP.","Python,Docker,GCP"
6,"Data analysis work using pandas, NumPy, and Polars. Visualisation in Tableau.","pandas,NumPy,Polars,Tableau"
7,"You will build dashboards in Power BI and write complex SQL queries against Redshift.","Power BI,SQL,Redshift"
8,"Experience with TensorFlow or PyTorch required. scikit-learn for classical ML tasks.","TensorFlow,PyTorch,scikit-learn"
9,"Infrastructure managed via Terraform. CI/CD pipelines in GitHub Actions.","Terraform,CI/CD"
10,"Strong stakeholder management and cross-functional collaboration skills expected.","stakeholder management,cross-functional"
11,"Agile delivery using scrum methodology. Familiarity with OKRs for goal-setting.","agile,scrum,OKRs"
12,"BigQuery for analytics workloads. Looker for self-serve dashboards across the business.","BigQuery,Looker"
13,"MLOps experience required — model versioning, A/B testing, feature stores at scale.","MLOps,A/B testing"
14,"We use MongoDB for document storage alongside Redis for caching and session management.","MongoDB,Redis"
15,"GraphQL API layer over a PostgreSQL database. TypeScript on the frontend.","GraphQL,PostgreSQL,TypeScript"
16,"Knowledge of Azure and experience deploying to AKS would be advantageous.","Azure,Kubernetes"
17,"The candidate should know their way around the data science toolbox: pandas, SciPy, statsmodels.","pandas,SciPy"
18,"We expect familiarity with DevOps practices including containerisation and infrastructure as code.","DevOps"
19,"Experience in a startup environment with strong communication and prioritisation skills valued.","prioritisation"
20,"Must be comfortable with Go or Rust for performance-critical microservices.","Go"
21,"You'll use dbt for transformation, Airflow for scheduling, and Great Expectations for data quality.","dbt,Airflow"
22,"The team builds recommendation systems with PyTorch and deploys them to SageMaker on AWS.","PyTorch,AWS"
23,"A PhD or equivalent research experience in NLP or computer vision is preferred.","NLP"
24,"Experience with Databricks and Delta Lake for large-scale data processing using Spark.","Apache Spark"
25,"Comfort with command-line tools, bash scripting, and Linux system administration.","Linux"
26,"We value clear written communication, proactive problem-solving, and attention to detail.","communication"
27,"Our analytics stack is Snowflake + dbt + Metabase. Python for ETL scripting.","Snowflake,dbt,Metabase,Python"
28,"Build REST APIs in FastAPI, document with OpenAPI, deploy behind an nginx reverse proxy.","REST API,FastAPI"
29,"Experience with Tableau or equivalent visualisation tools. SQL proficiency is a baseline requirement.","Tableau,SQL"
30,"You will lead data roadmap planning and work with product managers on discovery and prioritisation.","roadmap,discovery,prioritisation"
